3.000000 6.000000
-3.000000 4.000000
0.000000 5.000000
-2.000000 11.000000
-1.900000 10.700000
-1.800000 10.400000
-1.700000 10.100000
-1.600000 9.800000
-1.500000 9.500000
-1.400000 9.200000
-1.300000 8.900000
-1.200000 8.600000
-1.100000 8.300000
-1.000000 8.000000
-0.900000 7.700000
-0.800000 7.400000
-0.700000 7.100000
-0.600000 6.800000
-0.500000 6.500000
-0.400000 6.200000
-0.300000 5.900000
-0.200000 5.600000
-0.100000 5.300000
0.000000 5.000000
0.100000 4.700000
0.200000 4.400000
0.300000 4.100000
0.400000 3.800000
0.500000 3.500000
0.600000 3.200000
0.700000 2.900000
0.800000 2.600000
0.900000 2.300000
1.000000 2.000000
1.100000 1.700000
1.200000 1.400000
1.300000 1.100000
1.400000 0.800000
1.500000 0.500000
1.600000 0.200000
1.700000 -0.100000
1.800000 -0.400000
1.900000 -0.700000
