3.000000,2.000000,1.000000
4.000000,5.000000,5.000000
4.000000,2.000000,-2.000000
6.000000,5.000000,-1.000000
8.300000,8.600000,-5.166667
7.700000,1.500000,-0.233333
9.300000,3.500000,-2.100000
8.600000,9.200000,-5.666667
4.900000,2.100000,0.300000
6.200000,2.700000,-0.533333
9.000000,5.900000,-3.600000
6.300000,2.600000,-0.500000
4.000000,2.600000,0.266667
7.200000,3.600000,-1.466667
1.100000,6.800000,-1.566667
6.700000,2.900000,-0.833333
8.200000,3.000000,-1.400000
6.200000,2.300000,-0.266667
6.700000,3.500000,-1.233333
2.900000,0.200000,2.233333
2.200000,5.800000,-1.266667
6.900000,6.700000,-3.433333
9.300000,5.600000,-3.500000
1.100000,4.200000,0.166667
2.900000,7.300000,-2.500000
2.100000,1.900000,1.366667
8.400000,3.700000,-1.933333
9.800000,2.400000,-1.533333
1.500000,7.000000,-1.833333
1.300000,2.600000,1.166667
9.100000,8.000000,-5.033333
5.600000,7.300000,-3.400000
6.200000,7.000000,-3.400000
9.600000,8.100000,-5.266667
0.500000,2.500000,1.500000
8.400000,2.700000,-1.266667
3.600000,0.500000,1.800000
4.600000,2.900000,-0.133333
1.300000,5.700000,-0.900000
2.400000,9.500000,-3.800000
8.200000,4.500000,-2.400000
1.400000,6.700000,-1.600000
3.400000,6.400000,-2.066667
4.300000,5.000000,-1.433333
8.700000,0.800000,-0.100000
7.600000,7.800000,-4.400000
8.800000,8.400000,-5.200000
0.300000,5.100000,-0.166667
5.400000,9.900000,-5.066667
3.200000,6.000000,-1.733333
7.600000,6.800000,-3.733333
3.900000,1.200000,1.233333
2.600000,8.600000,-3.266667
9.400000,3.900000,-2.400000
9.500000,7.000000,-4.500000
3.400000,7.800000,-3.000000
6.700000,0.100000,1.033333
9.700000,0.200000,-0.033333
1.700000,9.200000,-3.366667
5.200000,5.600000,-2.133333
0.100000,8.000000,-2.033333
8.600000,4.100000,-2.266667
6.500000,8.900000,-4.766667
4.400000,1.900000,0.600000
4.000000,2.900000,0.066667
3.100000,1.700000,1.166667
9.700000,7.100000,-4.633333
8.100000,7.500000,-4.366667
0.900000,2.700000,1.233333
6.700000,5.600000,-2.633333
9.700000,5.300000,-3.433333
8.600000,6.500000,-3.866667
0.600000,8.300000,-2.400000
1.900000,2.400000,1.100000
2.800000,7.100000,-2.333333
3.200000,2.900000,0.333333
0.300000,1.900000,1.966667
7.000000,6.800000,-3.533333
0.800000,1.500000,2.066667
4.000000,4.900000,-1.266667
9.600000,2.300000,-1.400000
1.800000,4.500000,-0.266667
4.600000,5.100000,-1.600000
2.100000,5.500000,-1.033333
7.900000,8.800000,-5.166667
6.400000,2.800000,-0.666667
4.100000,5.000000,-1.366667
9.300000,0.000000,0.233333
3.400000,6.400000,-2.066667
2.400000,1.400000,1.600000
8.700000,5.600000,-3.300000
4.300000,9.100000,-4.166667
2.700000,6.500000,-1.900000
5.900000,3.600000,-1.033333
3.200000,5.100000,-1.133333
3.700000,2.800000,0.233333
7.500000,0.700000,0.366667
7.400000,2.100000,-0.533333
5.800000,9.500000,-4.933333
2.900000,3.700000,-0.100000
3.500000,9.300000,-4.033333
1.800000,2.800000,0.866667
4.300000,1.100000,1.166667
2.800000,2.900000,0.466667
