-6.000000 3.000000
6.000000 4.000000
0.000000 3.500000
6.020797 3.500000
6.008917 3.878049
5.973322 4.254606
5.914152 4.628185
5.831643 4.997311
5.726118 5.360529
5.597996 5.716403
5.447780 6.063531
5.276065 6.400541
5.083527 6.726105
4.870927 7.038936
4.639104 7.337801
4.388972 7.621519
4.121519 7.888972
3.837801 8.139104
3.538936 8.370927
3.226105 8.583527
2.900541 8.776065
2.563531 8.947780
2.216403 9.097996
1.860529 9.226118
1.497311 9.331643
1.128185 9.414152
0.754606 9.473322
0.378049 9.508917
-0.000000 9.520797
-0.378049 9.508917
-0.754606 9.473322
-1.128185 9.414152
-1.497311 9.331643
-1.860529 9.226118
-2.216403 9.097996
-2.563531 8.947780
-2.900541 8.776065
-3.226105 8.583527
-3.538936 8.370927
-3.837801 8.139104
-4.121519 7.888972
-4.388972 7.621519
-4.639104 7.337801
-4.870927 7.038936
-5.083527 6.726105
-5.276065 6.400541
-5.447780 6.063531
-5.597996 5.716403
-5.726118 5.360529
-5.831643 4.997311
-5.914152 4.628185
-5.973322 4.254606
-6.008917 3.878049
-6.020797 3.500000
-6.008917 3.121951
-5.973322 2.745394
-5.914152 2.371815
-5.831643 2.002689
-5.726118 1.639471
-5.597996 1.283597
-5.447780 0.936469
-5.276065 0.599459
-5.083527 0.273895
-4.870927 -0.038936
-4.639104 -0.337801
-4.388972 -0.621519
-4.121519 -0.888972
-3.837801 -1.139104
-3.538936 -1.370927
-3.226105 -1.583527
-2.900541 -1.776065
-2.563531 -1.947780
-2.216403 -2.097996
-1.860529 -2.226118
-1.497311 -2.331643
-1.128185 -2.414152
-0.754606 -2.473322
-0.378049 -2.508917
-0.000000 -2.520797
0.378049 -2.508917
0.754606 -2.473322
1.128185 -2.414152
1.497311 -2.331643
1.860529 -2.226118
2.216403 -2.097996
2.563531 -1.947780
2.900541 -1.776065
3.226105 -1.583527
3.538936 -1.370927
3.837801 -1.139104
4.121519 -0.888972
4.388972 -0.621519
4.639104 -0.337801
4.870927 -0.038936
5.083527 0.273895
5.276065 0.599459
5.447780 0.936469
5.597996 1.283597
5.726118 1.639471
5.831643 2.002689
5.914152 2.371815
5.973322 2.745394
6.008917 3.121951
6.020797 3.500000
